Gene	Cytoband	CNA	#	Freq	Cases	Gistic
TCL1A	14q32.1	DEL	2	0.78%	TCGA-AA-3516-01,TCGA-AA-A00J-01	
BCL11B	14q32.2	DEL	2	0.78%	TCGA-AA-3516-01,TCGA-AA-A00J-01	
EPCAM	2p21	AMP	1	0.39%	TCGA-AA-3554-01	
MSH2	2p21	AMP	1	0.39%	TCGA-AA-3554-01	
AK9	6q21	DEL	1	0.39%	TCGA-AA-3710-01	
FANCG	9p13	DEL	1	0.39%	TCGA-AA-3710-01	
EPHA3	3p11.2	DEL	2	0.78%	TCGA-AA-3877-01,TCGA-AG-3580-01	
COL11A1	1p21	DEL	2	0.78%	TCGA-AA-A00A-01,TCGA-AZ-4615-01	
PTPN22	1p13.2	DEL	3	1.17%	TCGA-AA-A00A-01,TCGA-AA-A01Q-01,TCGA-AZ-4615-01	
TRIM33	1p13.1	DEL	3	1.17%	TCGA-AA-A00A-01,TCGA-AA-A01Q-01,TCGA-AZ-4615-01	
NRAS	1p13.2	DEL	3	1.17%	TCGA-AA-A00A-01,TCGA-AA-A01Q-01,TCGA-AZ-4615-01	
CD58	1p13	DEL	3	1.17%	TCGA-AA-A00A-01,TCGA-AA-A01Q-01,TCGA-AZ-4615-01	
VTCN1	1p13.1	DEL	3	1.17%	TCGA-AA-A00A-01,TCGA-AA-A01Q-01,TCGA-AZ-4615-01	
SBDS	7q11.21	AMP	2	0.78%	TCGA-AA-A00A-01,TCGA-AA-A00E-01	
POLQ	3q13.33	AMP	1	0.39%	TCGA-AA-A00A-01	
CNBP	3q21	AMP	1	0.39%	TCGA-AA-A00A-01	
EPHA7	6q16.1	DEL	3	1.17%	TCGA-AA-A00A-01,TCGA-AA-3514-01,TCGA-AA-A00K-01	
BCL9	1q21	DEL	1	0.39%	TCGA-AA-A00A-01	
HIST2H3C	1q21.2	DEL	1	0.39%	TCGA-AA-A00A-01	
HIST2H3D	1q21.2	DEL	1	0.39%	TCGA-AA-A00A-01	
MST1	3p21	DEL	2	0.78%	TCGA-AA-A00A-01,TCGA-AG-3580-01	
PDCD11	10q24.33	AMP	1	0.39%	TCGA-AA-A00A-01	
MET	7q31	AMP	1	0.39%	TCGA-AA-A00E-01	
NCOA4	10q11.2	DEL	1	0.39%	TCGA-AA-A00E-01	
MAP2K2	19p13.3	AMP	2	0.78%	TCGA-AA-A00E-01,TCGA-AA-3977-01	
SH3GL1	19p13.3	AMP	2	0.78%	TCGA-AA-A00E-01,TCGA-AA-3977-01	
CD70	19p13	AMP	2	0.78%	TCGA-AA-A00E-01,TCGA-AA-3977-01	
DNMT1	19p13.2	AMP	2	0.78%	TCGA-AA-A00E-01,TCGA-AA-3977-01	
S1PR2	19p13.2	AMP	2	0.78%	TCGA-AA-A00E-01,TCGA-AA-3977-01	
TYK2	19p13.2	AMP	2	0.78%	TCGA-AA-A00E-01,TCGA-AA-3977-01	
