Gene	Cytoband	CNA	#	Freq	Cases	Gistic
ZNF217	20q13.2	AMP	26	10.12%	TCGA-A6-2670-01,TCGA-AA-3538-01,TCGA-AA-3553-01,TCGA-AA-3869-01,TCGA-AF-3913-01,TCGA-AG-3598-01,TCGA-AG-A016-01,TCGA-AG-A026-01,TCGA-AA-3531-01,TCGA-AA-3679-01,TCGA-AA-3693-01,TCGA-AA-3819-01,TCGA-AA-3955-01,TCGA-AA-A00Q-01,TCGA-AA-A01F-01,TCGA-AG-3593-01,TCGA-AG-A008-01,TCGA-AG-A02G-01,TCGA-AA-A01D-01,TCGA-AA-3685-01,TCGA-AF-2689-01,TCGA-AG-3574-01,TCGA-AA-A03J-01,TCGA-AG-A01N-01,TCGA-AG-A020-01,TCGA-AZ-4681-01	
TSHZ2	20q13.2	AMP	24	9.34%	TCGA-A6-2670-01,TCGA-AA-3538-01,TCGA-AA-3553-01,TCGA-AA-3869-01,TCGA-AF-3913-01,TCGA-AG-A016-01,TCGA-AG-A026-01,TCGA-AA-3531-01,TCGA-AA-3679-01,TCGA-AA-3693-01,TCGA-AA-3819-01,TCGA-AA-3955-01,TCGA-AA-A00Q-01,TCGA-AA-A01F-01,TCGA-AG-3593-01,TCGA-AG-A008-01,TCGA-AG-A02G-01,TCGA-AA-3685-01,TCGA-AF-2689-01,TCGA-AG-3574-01,TCGA-AA-A03J-01,TCGA-AG-A01N-01,TCGA-AG-A020-01,TCGA-AZ-4681-01	
EIF4EBP1	8p12	AMP	7	2.72%	TCGA-A6-2677-01,TCGA-AA-3858-01,TCGA-AA-A01Z-01,TCGA-AA-3688-01,TCGA-AG-3893-01,TCGA-AG-3594-01,TCGA-AZ-4614-01	
ASH2L	8p11.2	AMP	7	2.72%	TCGA-A6-2677-01,TCGA-AA-3858-01,TCGA-AA-A01Z-01,TCGA-AA-3688-01,TCGA-AG-3893-01,TCGA-AG-3594-01,TCGA-AZ-4614-01	
WHSC1L1	8p11.2	AMP	8	3.11%	TCGA-A6-2677-01,TCGA-AA-3858-01,TCGA-AA-A01S-01,TCGA-AA-3688-01,TCGA-AG-3893-01,TCGA-AG-3594-01,TCGA-AZ-4614-01,TCGA-AZ-4681-01	
FGFR1	8p11.23-p11.22	AMP	8	3.11%	TCGA-A6-2677-01,TCGA-AA-3858-01,TCGA-AA-A01S-01,TCGA-AA-3688-01,TCGA-AG-3893-01,TCGA-AG-3594-01,TCGA-AZ-4614-01,TCGA-AZ-4681-01	
PREX2	8q13.2	AMP	3	1.17%	TCGA-A6-2677-01,TCGA-AA-A01S-01,TCGA-AG-3594-01	
NCOA2	8q13.3	AMP	3	1.17%	TCGA-A6-2677-01,TCGA-AF-3913-01,TCGA-AA-A01S-01	
TCEB1	8q21.11	AMP	5	1.95%	TCGA-A6-2677-01,TCGA-AF-3913-01,TCGA-AG-3587-01,TCGA-AA-A01S-01,TCGA-AA-3555-01	
MYC	8q24.21	AMP	11	4.28%	TCGA-A6-2677-01,TCGA-AA-3851-01,TCGA-AG-3587-01,TCGA-AA-A01S-01,TCGA-AG-A02X-01,TCGA-AA-3664-01,TCGA-AA-3870-01,TCGA-AG-3902-01,TCGA-AA-3488-01,TCGA-AG-A01Y-01,TCGA-AZ-4684-01	
PRKAR1A	17q24.2	AMP	2	0.78%	TCGA-A6-2677-01,TCGA-AA-A01Z-01	
RNF213	17q25.3	AMP	1	0.39%	TCGA-A6-2677-01	
ZNF750	17q25.3	AMP	2	0.78%	TCGA-A6-2677-01,TCGA-AA-3977-01	
HEY1	8q21	AMP	5	1.95%	TCGA-A6-2677-01,TCGA-AF-3913-01,TCGA-AG-3587-01,TCGA-AA-A01S-01,TCGA-AG-A01Y-01	
PAG1	8q21.13	AMP	5	1.95%	TCGA-A6-2677-01,TCGA-AF-3913-01,TCGA-AG-3587-01,TCGA-AA-A01S-01,TCGA-AG-A01Y-01	
NBN	8q21	AMP	6	2.33%	TCGA-A6-2677-01,TCGA-AA-3851-01,TCGA-AG-3587-01,TCGA-AA-A01S-01,TCGA-AA-3542-01,TCGA-AZ-4684-01	
ABCA9	17q24.2	AMP	2	0.78%	TCGA-A6-2677-01,TCGA-AA-A01Z-01	
SOX9	17q24.3	AMP	1	0.39%	TCGA-A6-2677-01	
H3F3B	17q25.1	AMP	1	0.39%	TCGA-A6-2677-01	
SRSF2	17q25.1	AMP	1	0.39%	TCGA-A6-2677-01	
SEPT9	17q25	AMP	1	0.39%	TCGA-A6-2677-01	
SOCS3	17q25.3	AMP	1	0.39%	TCGA-A6-2677-01	
CANT1	17q25.3	AMP	1	0.39%	TCGA-A6-2677-01	
RPTOR	17q25.3	AMP	1	0.39%	TCGA-A6-2677-01	
ASPSCR1	17q25.3	AMP	3	1.17%	TCGA-A6-2677-01,TCGA-AA-A00E-01,TCGA-AA-3977-01	
ESCO2	8p21.1	AMP	1	0.39%	TCGA-A6-2677-01	
B2M	15q21.1	DEL	5	1.95%	TCGA-AA-3532-01,TCGA-A6-2676-01,TCGA-AA-A00E-01,TCGA-AA-3680-01,TCGA-AA-3845-01	
FGF7	15q21.2	DEL	2	0.78%	TCGA-AA-3532-01,TCGA-AA-A00E-01	
BCL2L1	20q11.21	AMP	32	12.45%	TCGA-AA-3538-01,TCGA-AA-3553-01,TCGA-AA-3971-01,TCGA-AG-3582-01,TCGA-AG-3612-01,TCGA-AG-3883-01,TCGA-AG-4008-01,TCGA-AG-A016-01,TCGA-AA-A01S-01,TCGA-AG-A026-01,TCGA-AA-3531-01,TCGA-AA-3561-01,TCGA-AA-3693-01,TCGA-AA-3819-01,TCGA-AA-3955-01,TCGA-AA-A00Q-01,TCGA-AA-A01F-01,TCGA-AG-3593-01,TCGA-AG-3608-01,TCGA-AG-3898-01,TCGA-AG-A008-01,TCGA-AG-A02G-01,TCGA-AA-3812-01,TCGA-AA-3875-01,TCGA-AA-3542-01,TCGA-AA-3685-01,TCGA-AF-2689-01,TCGA-AG-3574-01,TCGA-AA-3968-01,TCGA-AA-A03J-01,TCGA-AG-A01N-01,TCGA-AG-A020-01	
POFUT1	20q11	AMP	32	12.45%	TCGA-AA-3538-01,TCGA-AA-3553-01,TCGA-AG-3582-01,TCGA-AG-3587-01,TCGA-AG-3612-01,TCGA-AG-3883-01,TCGA-AG-4008-01,TCGA-AG-A016-01,TCGA-AA-A01S-01,TCGA-AG-A026-01,TCGA-AA-3531-01,TCGA-AA-3561-01,TCGA-AA-3693-01,TCGA-AA-3819-01,TCGA-AA-3955-01,TCGA-AA-A00Q-01,TCGA-AA-A01F-01,TCGA-AG-3593-01,TCGA-AG-3608-01,TCGA-AG-3898-01,TCGA-AG-A008-01,TCGA-AG-A02G-01,TCGA-AA-3812-01,TCGA-AA-3875-01,TCGA-AA-3542-01,TCGA-AA-3685-01,TCGA-AF-2689-01,TCGA-AG-3574-01,TCGA-AA-3968-01,TCGA-AA-A03J-01,TCGA-AG-A01N-01,TCGA-AG-A020-01	
SS18L1	20q13.3	AMP	18	7.00%	TCGA-AA-3538-01,TCGA-AG-4008-01,TCGA-AG-A026-01,TCGA-AA-3531-01,TCGA-AA-3679-01,TCGA-AA-3693-01,TCGA-AA-3819-01,TCGA-AA-3955-01,TCGA-AA-A00Q-01,TCGA-AA-A01F-01,TCGA-AG-3898-01,TCGA-AG-A008-01,TCGA-AF-2689-01,TCGA-AG-3574-01,TCGA-AA-A03J-01,TCGA-AG-A01N-01,TCGA-AG-A020-01,TCGA-AZ-4681-01	
ARFRP1	20q13.3	AMP	20	7.78%	TCGA-AA-3538-01,TCGA-AG-4008-01,TCGA-AG-A016-01,TCGA-AG-A026-01,TCGA-AA-3531-01,TCGA-AA-3679-01,TCGA-AA-3693-01,TCGA-AA-3819-01,TCGA-AA-3955-01,TCGA-AA-A00Q-01,TCGA-AA-A01F-01,TCGA-AG-3898-01,TCGA-AG-A008-01,TCGA-AA-A01D-01,TCGA-AF-2689-01,TCGA-AG-3574-01,TCGA-AA-A03J-01,TCGA-AG-A01N-01,TCGA-AG-A020-01,TCGA-AZ-4681-01	
ASXL1	20q11	AMP	32	12.45%	TCGA-AA-3538-01,TCGA-AA-3553-01,TCGA-AG-3582-01,TCGA-AG-3587-01,TCGA-AG-3612-01,TCGA-AG-3883-01,TCGA-AG-4008-01,TCGA-AG-A016-01,TCGA-AA-A01S-01,TCGA-AG-A026-01,TCGA-AA-3531-01,TCGA-AA-3561-01,TCGA-AA-3693-01,TCGA-AA-3819-01,TCGA-AA-3955-01,TCGA-AA-A00Q-01,TCGA-AA-A01F-01,TCGA-AG-3593-01,TCGA-AG-3608-01,TCGA-AG-3898-01,TCGA-AG-A008-01,TCGA-AG-A02G-01,TCGA-AA-3812-01,TCGA-AA-3875-01,TCGA-AA-3542-01,TCGA-AA-3685-01,TCGA-AF-2689-01,TCGA-AG-3574-01,TCGA-AA-3968-01,TCGA-AA-A03J-01,TCGA-AG-A01N-01,TCGA-AG-A020-01	
DNMT3B	20q11.2	AMP	31	12.06%	TCGA-AA-3538-01,TCGA-AA-3553-01,TCGA-AG-3582-01,TCGA-AG-3587-01,TCGA-AG-3612-01,TCGA-AG-4008-01,TCGA-AG-A016-01,TCGA-AA-A01S-01,TCGA-AG-A026-01,TCGA-AA-3531-01,TCGA-AA-3561-01,TCGA-AA-3693-01,TCGA-AA-3819-01,TCGA-AA-3955-01,TCGA-AA-A00Q-01,TCGA-AA-A01F-01,TCGA-AG-3593-01,TCGA-AG-3608-01,TCGA-AG-3898-01,TCGA-AG-A008-01,TCGA-AG-A02G-01,TCGA-AA-3812-01,TCGA-AA-3875-01,TCGA-AA-3542-01,TCGA-AA-3685-01,TCGA-AF-2689-01,TCGA-AG-3574-01,TCGA-AA-3968-01,TCGA-AA-A03J-01,TCGA-AG-A01N-01,TCGA-AG-A020-01	
SRC	20q12-q13	AMP	27	10.51%	TCGA-AA-3538-01,TCGA-AA-3553-01,TCGA-AF-3913-01,TCGA-AG-3582-01,TCGA-AG-3612-01,TCGA-AG-4008-01,TCGA-AG-A016-01,TCGA-AG-A026-01,TCGA-AA-3531-01,TCGA-AA-3693-01,TCGA-AA-3819-01,TCGA-AA-3955-01,TCGA-AA-A00Q-01,TCGA-AA-A01F-01,TCGA-AG-3593-01,TCGA-AG-3608-01,TCGA-AG-3898-01,TCGA-AG-A008-01,TCGA-AG-A02G-01,TCGA-AA-3812-01,TCGA-AA-3875-01,TCGA-AA-3685-01,TCGA-AF-2689-01,TCGA-AG-3574-01,TCGA-AA-A03J-01,TCGA-AG-A01N-01,TCGA-AG-A020-01	
MAFB	20q12	AMP	26	10.12%	TCGA-AA-3538-01,TCGA-AA-3553-01,TCGA-AF-3913-01,TCGA-AG-3582-01,TCGA-AG-3587-01,TCGA-AG-3612-01,TCGA-AG-4008-01,TCGA-AG-A026-01,TCGA-AA-3531-01,TCGA-AA-3679-01,TCGA-AA-3693-01,TCGA-AA-3819-01,TCGA-AA-3955-01,TCGA-AA-A00Q-01,TCGA-AA-A01F-01,TCGA-AG-3593-01,TCGA-AG-3898-01,TCGA-AG-A008-01,TCGA-AG-A02G-01,TCGA-AA-3875-01,TCGA-AA-3685-01,TCGA-AF-2689-01,TCGA-AG-3574-01,TCGA-AA-A03J-01,TCGA-AG-A01N-01,TCGA-AG-A020-01	
TOP1	20q12-q13.1	AMP	28	10.89%	TCGA-AA-3538-01,TCGA-AA-3553-01,TCGA-AA-3869-01,TCGA-AF-3913-01,TCGA-AG-3582-01,TCGA-AG-3587-01,TCGA-AG-3612-01,TCGA-AG-4008-01,TCGA-AG-A026-01,TCGA-AA-3531-01,TCGA-AA-3679-01,TCGA-AA-3693-01,TCGA-AA-3819-01,TCGA-AA-3955-01,TCGA-AA-A00Q-01,TCGA-AA-A01F-01,TCGA-AG-3593-01,TCGA-AG-3898-01,TCGA-AG-A008-01,TCGA-AG-A02G-01,TCGA-AA-3875-01,TCGA-AA-3685-01,TCGA-AF-2689-01,TCGA-AG-3574-01,TCGA-AA-A03J-01,TCGA-AG-A01N-01,TCGA-AG-A020-01,TCGA-AZ-4614-01	
PTPRT	20q12-q13	AMP	27	10.51%	TCGA-AA-3538-01,TCGA-AA-3553-01,TCGA-AA-3869-01,TCGA-AF-3913-01,TCGA-AG-4008-01,TCGA-AG-A016-01,TCGA-AG-A026-01,TCGA-AA-3531-01,TCGA-AA-3693-01,TCGA-AA-3819-01,TCGA-AA-3846-01,TCGA-AA-3955-01,TCGA-AA-A00Q-01,TCGA-AA-A01F-01,TCGA-AG-3593-01,TCGA-AG-3898-01,TCGA-AG-A008-01,TCGA-AG-A02G-01,TCGA-AA-3685-01,TCGA-AF-2689-01,TCGA-AG-3574-01,TCGA-AA-3494-01,TCGA-AA-A03J-01,TCGA-AG-A01N-01,TCGA-AG-A020-01,TCGA-AZ-4614-01,TCGA-AZ-4681-01	
SEMG1	20q12-q13.2	AMP	29	11.28%	TCGA-AA-3538-01,TCGA-AA-3553-01,TCGA-AA-3869-01,TCGA-AF-3913-01,TCGA-AG-4008-01,TCGA-AG-A016-01,TCGA-AG-A026-01,TCGA-AA-3531-01,TCGA-AA-3693-01,TCGA-AA-3819-01,TCGA-AA-3955-01,TCGA-AA-A00Q-01,TCGA-AA-A01F-01,TCGA-AG-3593-01,TCGA-AG-3898-01,TCGA-AG-A008-01,TCGA-AG-A02G-01,TCGA-AA-3812-01,TCGA-AA-A01D-01,TCGA-AA-3685-01,TCGA-AF-2689-01,TCGA-AG-3574-01,TCGA-AA-3494-01,TCGA-AA-A03J-01,TCGA-AG-A01N-01,TCGA-AG-A020-01,TCGA-AZ-4308-01,TCGA-AZ-4614-01,TCGA-AZ-4681-01	
SDC4	20q12	AMP	29	11.28%	TCGA-AA-3538-01,TCGA-AA-3553-01,TCGA-AA-3869-01,TCGA-AF-3913-01,TCGA-AG-4008-01,TCGA-AG-A016-01,TCGA-AG-A026-01,TCGA-AA-3531-01,TCGA-AA-3693-01,TCGA-AA-3819-01,TCGA-AA-3955-01,TCGA-AA-A00Q-01,TCGA-AA-A01F-01,TCGA-AG-3593-01,TCGA-AG-3898-01,TCGA-AG-A008-01,TCGA-AG-A02G-01,TCGA-AA-3812-01,TCGA-AA-A01D-01,TCGA-AA-3685-01,TCGA-AF-2689-01,TCGA-AG-3574-01,TCGA-AA-3494-01,TCGA-AA-A03J-01,TCGA-AG-A01N-01,TCGA-AG-A020-01,TCGA-AZ-4308-01,TCGA-AZ-4614-01,TCGA-AZ-4681-01	
NCOA3	20q12	AMP	26	10.12%	TCGA-AA-3538-01,TCGA-AA-3553-01,TCGA-AF-3913-01,TCGA-AG-4008-01,TCGA-AG-A016-01,TCGA-AG-A026-01,TCGA-AA-3531-01,TCGA-AA-3679-01,TCGA-AA-3693-01,TCGA-AA-3819-01,TCGA-AA-3955-01,TCGA-AA-A00Q-01,TCGA-AA-A01F-01,TCGA-AG-3593-01,TCGA-AG-3882-01,TCGA-AG-A008-01,TCGA-AG-A02G-01,TCGA-AA-A01D-01,TCGA-AA-3685-01,TCGA-AF-2689-01,TCGA-AG-3574-01,TCGA-AA-A03J-01,TCGA-AG-A01N-01,TCGA-AG-A020-01,TCGA-AZ-4308-01,TCGA-AZ-4681-01	
AURKA	20q13	AMP	21	8.17%	TCGA-AA-3538-01,TCGA-AA-3869-01,TCGA-AF-3913-01,TCGA-AG-A026-01,TCGA-AA-3531-01,TCGA-AA-3679-01,TCGA-AA-3693-01,TCGA-AA-3819-01,TCGA-AA-3955-01,TCGA-AA-A00Q-01,TCGA-AA-A01F-01,TCGA-AG-3593-01,TCGA-AG-A008-01,TCGA-AG-A02G-01,TCGA-AA-A01D-01,TCGA-AF-2689-01,TCGA-AG-3574-01,TCGA-AA-A03J-01,TCGA-AG-A01N-01,TCGA-AG-A020-01,TCGA-AZ-4681-01	
GNAS	20q13.3	AMP	21	8.17%	TCGA-AA-3538-01,TCGA-AA-3869-01,TCGA-AF-3913-01,TCGA-AG-A026-01,TCGA-AA-3531-01,TCGA-AA-3679-01,TCGA-AA-3693-01,TCGA-AA-3819-01,TCGA-AA-3955-01,TCGA-AA-A00Q-01,TCGA-AA-A01F-01,TCGA-AG-3593-01,TCGA-AG-A008-01,TCGA-AG-A02G-01,TCGA-AA-A01D-01,TCGA-AF-2689-01,TCGA-AG-3574-01,TCGA-AA-A03J-01,TCGA-AG-A01N-01,TCGA-AG-A020-01,TCGA-AZ-4681-01	
KAT6A	8p11	AMP	10	3.89%	TCGA-AA-3544-01,TCGA-AA-3858-01,TCGA-AA-A00D-01,TCGA-AA-A00U-01,TCGA-AA-A01S-01,TCGA-AA-3688-01,TCGA-AG-3605-01,TCGA-AG-3594-01,TCGA-A6-2671-01,TCGA-AG-A01J-01	
IKBKB	8p11.2	AMP	9	3.50%	TCGA-AA-3544-01,TCGA-AA-3858-01,TCGA-AA-A00D-01,TCGA-AA-A00U-01,TCGA-AA-A01S-01,TCGA-AA-3688-01,TCGA-AG-3605-01,TCGA-AG-3594-01,TCGA-A6-2671-01	
DKK4	8p11.2-p11.1	AMP	9	3.50%	TCGA-AA-3544-01,TCGA-AA-3858-01,TCGA-AA-A00D-01,TCGA-AA-A00U-01,TCGA-AA-A01S-01,TCGA-AA-3688-01,TCGA-AG-3605-01,TCGA-AG-3594-01,TCGA-A6-2671-01	
HOOK3	8p11.21	AMP	6	2.33%	TCGA-AA-3544-01,TCGA-AA-A00U-01,TCGA-AA-A01S-01,TCGA-AA-3688-01,TCGA-AG-3605-01,TCGA-A6-2671-01	
EPPK1	8q24.3	AMP	10	3.89%	TCGA-AA-3544-01,TCGA-AA-3851-01,TCGA-AA-3858-01,TCGA-AA-3979-01,TCGA-AA-A01S-01,TCGA-AA-3664-01,TCGA-AA-3870-01,TCGA-AA-A00R-01,TCGA-AA-3488-01,TCGA-AZ-4681-01	
PLEC	8q24	AMP	10	3.89%	TCGA-AA-3544-01,TCGA-AA-3851-01,TCGA-AA-3858-01,TCGA-AA-3979-01,TCGA-AA-A01S-01,TCGA-AA-3664-01,TCGA-AA-3870-01,TCGA-AA-A00R-01,TCGA-AA-3488-01,TCGA-AZ-4681-01	
RECQL4	8q24.3	AMP	10	3.89%	TCGA-AA-3544-01,TCGA-AA-3851-01,TCGA-AA-3858-01,TCGA-AA-3979-01,TCGA-AA-A01S-01,TCGA-AA-3664-01,TCGA-AA-3870-01,TCGA-AA-A00R-01,TCGA-AA-3488-01,TCGA-AZ-4681-01	
MITF	3p14.2-p14.1	AMP	1	0.39%	TCGA-AA-3552-01	
SDHA	5p15	AMP	1	0.39%	TCGA-AA-3552-01	
TERT	5p15.33	AMP	1	0.39%	TCGA-AA-3552-01	
ICE1	5p15.32	AMP	1	0.39%	TCGA-AA-3552-01	
GOLPH3	5p13.3	AMP	2	0.78%	TCGA-AA-3552-01,TCGA-AA-3966-01	
IL7R	5p13	AMP	3	1.17%	TCGA-AA-3552-01,TCGA-AA-3854-01,TCGA-AA-3966-01	
SKP2	5p13	AMP	3	1.17%	TCGA-AA-3552-01,TCGA-AA-3854-01,TCGA-AA-3966-01	
LIFR	5p13-p12	AMP	3	1.17%	TCGA-AA-3552-01,TCGA-AA-3854-01,TCGA-AA-3966-01	
RICTOR	5p13.1	AMP	4	1.56%	TCGA-AA-3552-01,TCGA-AA-A00F-01,TCGA-AA-3854-01,TCGA-AA-3966-01	
FGF10	5p13-p12	AMP	2	0.78%	TCGA-AA-3552-01,TCGA-AA-3854-01	
CEBPA	19q13.1	AMP	3	1.17%	TCGA-AA-3552-01,TCGA-AA-A00Z-01,TCGA-AA-3522-01	
ARID1B	6q25.1	DEL	2	0.78%	TCGA-AA-3692-01,TCGA-AA-3680-01	
CUL4A	13q34	AMP	5	1.95%	TCGA-AA-3842-01,TCGA-AA-3693-01,TCGA-AA-A00F-01,TCGA-AG-A00C-01,TCGA-AG-A01L-01	
RAD21	8q24	AMP	4	1.56%	TCGA-AA-3851-01,TCGA-AG-3587-01,TCGA-AA-A01S-01,TCGA-AA-3870-01	
EXT1	8q24.11	AMP	6	2.33%	TCGA-AA-3851-01,TCGA-AG-3587-01,TCGA-AA-A01S-01,TCGA-AA-3870-01,TCGA-AG-A01Y-01,TCGA-AZ-4684-01	
NDRG1	8q24.3	AMP	5	1.95%	TCGA-AA-3851-01,TCGA-AA-A01S-01,TCGA-AA-3664-01,TCGA-AA-3488-01,TCGA-AZ-4684-01	
PTK2	8q24.3	AMP	5	1.95%	TCGA-AA-3851-01,TCGA-AG-A011-01,TCGA-AA-A01S-01,TCGA-AA-3664-01,TCGA-AA-3488-01	
RUNX1T1	8q22	AMP	3	1.17%	TCGA-AA-3851-01,TCGA-AG-3587-01,TCGA-AA-A01S-01	
COX6C	8q22.2	AMP	4	1.56%	TCGA-AA-3851-01,TCGA-AG-3587-01,TCGA-AA-A01S-01,TCGA-AZ-4684-01	
RSPO2	8q23.1	AMP	3	1.17%	TCGA-AA-3851-01,TCGA-AG-3587-01,TCGA-AA-A01S-01	
PRDM16	1p36.23-p33	DEL	1	0.39%	TCGA-AA-3858-01	
TNFRSF14	1p36.32	DEL	1	0.39%	TCGA-AA-3858-01	
TAF15	17q11.1-q11.2	AMP	3	1.17%	TCGA-AA-3869-01,TCGA-AG-3593-01,TCGA-AA-A02O-01	
CDK12	17q12	AMP	6	2.33%	TCGA-AA-3869-01,TCGA-AA-3872-01,TCGA-AG-3883-01,TCGA-AG-3898-01,TCGA-AA-3994-01,TCGA-AA-A02O-01	
RARA	17q21	AMP	4	1.56%	TCGA-AA-3869-01,TCGA-AG-3883-01,TCGA-AY-4070-01,TCGA-AA-3994-01	
MLLT6	17q21	AMP	5	1.95%	TCGA-AA-3869-01,TCGA-AG-3883-01,TCGA-AG-3898-01,TCGA-AA-3994-01,TCGA-AA-A02O-01	
LASP1	17q11-q21.3	AMP	4	1.56%	TCGA-AA-3869-01,TCGA-AG-3883-01,TCGA-AA-3994-01,TCGA-AA-A02O-01	
ERBB2	17q12	AMP	8	3.11%	TCGA-AA-3869-01,TCGA-AA-3872-01,TCGA-AG-3883-01,TCGA-AY-4070-01,TCGA-AA-3517-01,TCGA-AG-3898-01,TCGA-AA-3994-01,TCGA-AA-A02O-01	
IKZF3	17q21	AMP	7	2.72%	TCGA-AA-3869-01,TCGA-AA-3872-01,TCGA-AG-3883-01,TCGA-AY-4070-01,TCGA-AA-3517-01,TCGA-AA-3994-01,TCGA-AA-A02O-01	
ZMYM2	13q11-q12	AMP	8	3.11%	TCGA-AA-3975-01,TCGA-AA-3561-01,TCGA-AA-3860-01,TCGA-AA-A00F-01,TCGA-AG-A02X-01,TCGA-AA-3949-01,TCGA-AA-3681-01,TCGA-AZ-4681-01	
LATS2	13q12.11	AMP	8	3.11%	TCGA-AA-3975-01,TCGA-AA-3561-01,TCGA-AA-3860-01,TCGA-AA-A00F-01,TCGA-AG-A02X-01,TCGA-AA-3949-01,TCGA-AA-3681-01,TCGA-AZ-4681-01	
PARP4	13q11	AMP	7	2.72%	TCGA-AA-3975-01,TCGA-AA-3860-01,TCGA-AA-A00F-01,TCGA-AA-3681-01,TCGA-AA-3488-01,TCGA-AA-3968-01,TCGA-AZ-4681-01	
CDK8	13q12	AMP	7	2.72%	TCGA-AA-3975-01,TCGA-AA-3860-01,TCGA-AA-A00F-01,TCGA-AA-3681-01,TCGA-AA-3488-01,TCGA-AA-3968-01,TCGA-AZ-4681-01	
CDX2	13q12.3	AMP	10	3.89%	TCGA-AA-3975-01,TCGA-AA-3860-01,TCGA-AA-A00F-01,TCGA-AA-A02H-01,TCGA-AG-A02X-01,TCGA-AA-3681-01,TCGA-AG-3594-01,TCGA-AA-3488-01,TCGA-AA-3968-01,TCGA-AZ-4681-01	
FLT3	13q12	AMP	10	3.89%	TCGA-AA-3975-01,TCGA-AA-3860-01,TCGA-AA-A00F-01,TCGA-AA-A02H-01,TCGA-AG-A02X-01,TCGA-AA-3681-01,TCGA-AG-3594-01,TCGA-AA-3488-01,TCGA-AA-3968-01,TCGA-AZ-4681-01	
FLT1	13q12	AMP	8	3.11%	TCGA-AA-3975-01,TCGA-AA-3860-01,TCGA-AA-A00F-01,TCGA-AA-A02H-01,TCGA-AG-A02X-01,TCGA-AA-3681-01,TCGA-AA-3488-01,TCGA-AZ-4681-01	
BRCA2	13q12.3	AMP	4	1.56%	TCGA-AA-3975-01,TCGA-AA-A00F-01,TCGA-AA-3681-01,TCGA-AA-3488-01	
PDS5B	13q12.3	AMP	4	1.56%	TCGA-AA-3975-01,TCGA-AA-A00F-01,TCGA-AA-3681-01,TCGA-AA-3488-01	
TFEB	6p21	AMP	3	1.17%	TCGA-AA-A004-01,TCGA-AA-3561-01,TCGA-AA-A00O-01	
CCND3	6p21	AMP	4	1.56%	TCGA-AA-A004-01,TCGA-AA-3561-01,TCGA-AA-3666-01,TCGA-AA-A00O-01	
VEGFA	6p12	AMP	3	1.17%	TCGA-AA-A004-01,TCGA-AA-3561-01,TCGA-AA-A00O-01	
HSP90AB1	6p12	AMP	3	1.17%	TCGA-AA-A004-01,TCGA-AA-3561-01,TCGA-AA-A00O-01	
AARS2	6p21.1	AMP	3	1.17%	TCGA-AA-A004-01,TCGA-AA-3561-01,TCGA-AA-A00O-01	
PAK7	20p12	AMP	4	1.56%	TCGA-AA-A004-01,TCGA-AG-3587-01,TCGA-AA-3955-01,TCGA-AA-3685-01	
SNAP25	20p12-p11.2	AMP	4	1.56%	TCGA-AA-A004-01,TCGA-AG-3587-01,TCGA-AA-3955-01,TCGA-AA-3685-01	
MAP2K4	17p12	DEL	4	1.56%	TCGA-AA-A00U-01,TCGA-AA-3514-01,TCGA-AA-3968-01,TCGA-AG-3885-01	
MAPK3	16p11.2	AMP	3	1.17%	TCGA-AF-3913-01,TCGA-AA-3952-01,TCGA-A6-2685-01	
ITGAL	16p11.2	AMP	4	1.56%	TCGA-AF-3913-01,TCGA-AG-3582-01,TCGA-AA-3952-01,TCGA-A6-2685-01	
PRSS8	16p11.2	AMP	3	1.17%	TCGA-AF-3913-01,TCGA-AA-3952-01,TCGA-A6-2685-01	
FUS	16p11.2	AMP	3	1.17%	TCGA-AF-3913-01,TCGA-AA-3952-01,TCGA-A6-2685-01	
TNKS	8p23.1	DEL	8	3.11%	TCGA-AG-3582-01,TCGA-AG-3587-01,TCGA-AA-3525-01,TCGA-AA-3680-01,TCGA-AA-3543-01,TCGA-AA-3488-01,TCGA-AA-3494-01,TCGA-AG-A01N-01	
TUSC3	8p22	DEL	5	1.95%	TCGA-AG-3582-01,TCGA-AA-3680-01,TCGA-AA-3488-01,TCGA-AA-3494-01,TCGA-AG-A01N-01	
PCM1	8p22-p21.3	DEL	5	1.95%	TCGA-AG-3582-01,TCGA-AA-3680-01,TCGA-AA-3488-01,TCGA-AA-3494-01,TCGA-AG-A01N-01	
EGR3	8p23-p21	DEL	5	1.95%	TCGA-AG-3582-01,TCGA-AA-3680-01,TCGA-AA-3488-01,TCGA-AA-3494-01,TCGA-AG-A01N-01	
ESCO2	8p21.1	DEL	5	1.95%	TCGA-AG-3582-01,TCGA-AA-3680-01,TCGA-AA-3488-01,TCGA-AA-3494-01,TCGA-AG-A01N-01	
NKX3-1	8p21.2	DEL	5	1.95%	TCGA-AG-3582-01,TCGA-AA-3680-01,TCGA-AA-3488-01,TCGA-AA-3494-01,TCGA-AG-A01N-01	
ICOSLG	21q22.3	DEL	1	0.39%	TCGA-AG-3584-01	
FAT1	4q35	DEL	6	2.33%	TCGA-AG-3587-01,TCGA-AG-3600-01,TCGA-A6-3807-01,TCGA-AA-A02H-01,TCGA-AA-A01R-01,TCGA-AF-3400-01	
PDYN	20p13	AMP	2	0.78%	TCGA-AG-3587-01,TCGA-A6-2684-01	
CCDC6	10q21	DEL	2	0.78%	TCGA-AG-3600-01,TCGA-A6-2686-01	
